rsaeh, n=1024, n_e=1493, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=28, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=43, 11260, 4182, 390.19687577370865, 0.01126, 0.18306736755049832
rsaeh, n=2048, n_e=3029, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=31, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=47, 13436, 8287, 3532.196124605099, 0.013436, 1.9774411304247548
rsaeh, n=3072, n_e=4565, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=33, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=49, 14596, 12389, 13189.084992647227, 0.014596, 8.021161856361621
rsaeh, n=4096, n_e=6101, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=34, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=53, 17060, 16488, 30094.9544313143, 0.01706, 21.392496774925917
rsaeh, n=5129, n_e=7652, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=35, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=53, 17060, 20623, 64317.966965086336, 0.01706, 45.71935485101554
rsaeh, n=6144, n_e=9173, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=36, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=55, 18364, 24686, 109644.02863329278, 0.018364, 83.89595590924118
rsaeh, n=7168, n_e=10709, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=36, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=57, 19716, 28782, 173334.45289712056, 0.019716, 142.39425305498455
rsaeh, n=8192, n_e=12245, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=37, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=57, 19716, 32881, 270204.859291302, 0.019716, 221.97329190780457
rsaeh, n=10240, n_e=15317, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=38, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=59, 21116, 41076, 535820.9914304535, 0.021116, 471.43316896022736
rsaeh, n=12288, n_e=18389, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=39, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=61, 22564, 49271, 933385.2526999761, 0.022564, 877.5377017467608
rsaeh, n=14336, n_e=21461, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=39, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=61, 22564, 57463, 1559950.7762631983, 0.022564, 1466.6137214834505
rsaeh, n=16384, n_e=24533, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=39, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=63, 24060, 65655, 2280809.0400966895, 0.02406, 2286.5110626969313
rsaeh, n=20480, n_e=30677, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=39, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=65, 25604, 82039, 4535126.702942901, 0.025604, 4838.224337589585
rsaeh, n=24576, n_e=36821, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=39, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=65, 25604, 98423, 8254649.7755240165, 0.025604, 8806.335535521537
rsaeh, n=28672, n_e=42965, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=39, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=67, 27196, 114807, 12757890.030489247, 0.027196, 14456.8157195494
rsaeh, n=32768, n_e=49109, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=39, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=67, 27196, 131191, 19669177.068654463, 0.027196, 22288.455814963618
rsaeh, n=40960, n_e=61397, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=39, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=71, 30524, 163959, 36992132.73010083, 0.030524, 47047.827477233244
rsaeh, n=49152, n_e=73685, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=39, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=71, 30524, 196727, 63954614.95783627, 0.030524, 81339.61112387475
rsaeh, n=57344, n_e=85973, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=39, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=71, 30524, 229495, 101626003.69326676, 0.030524, 129251.33903055312
rsaeh, n=65536, n_e=98261, windowed_exp=3, windowed_mult=2, cycle_time=1e-06, reaction_time=1e-06, measure_based_uncomp=True, windowed=True, runway_sepration=512, deviation_padding=39, gate_error_rate=0.001, debitage=2, fs_distance=None, distance=71, 30524, 262263, 151823603.6835037, 0.030524, 193094.31995146946
